排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
31,yew,yewstack/yew,yewstack,Rust / Wasm framework for creating reliable and efficient web applications,Rust,31796,1445,148,2017-12-16T14:19:02Z,2025-07-28T09:42:36Z,https://github.com/yewstack/yew,https://yew.rs,Apache License 2.0,16260,False,False
32,codex,openai/codex,openai,Lightweight coding agent that runs in your terminal,Rust,31467,3661,606,2025-04-13T05:37:54Z,2025-07-28T09:00:47Z,https://github.com/openai/codex,,Apache License 2.0,25183,False,False
33,servo,servo/servo,servo,"Servo aims to empower developers with a lightweight, high-performance alternative for embedding web technologies in applications.",Rust,31088,3209,3187,2012-02-08T19:07:25Z,2025-07-28T09:57:54Z,https://github.com/servo/servo,https://servo.org,Mozilla Public License 2.0,1577861,False,False
34,comprehensive-rust,google/comprehensive-rust,google,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust.,Rust,30465,1823,147,2022-12-21T15:17:24Z,2025-07-28T09:06:24Z,https://github.com/google/comprehensive-rust,https://google.github.io/comprehensive-rust/,Apache License 2.0,25914,False,False
35,fish-shell,fish-shell/fish-shell,fish-shell,The user-friendly command line shell.,Rust,30436,2092,491,2012-05-10T03:00:55Z,2025-07-28T09:40:53Z,https://github.com/fish-shell/fish-shell,https://fishshell.com,Other,97900,False,False
36,influxdb,influxdata/influxdb,influxdata,"Scalable datastore for metrics, events, and real-time analytics",Rust,30381,3635,2129,2013-09-26T14:31:10Z,2025-07-28T08:42:14Z,https://github.com/influxdata/influxdb,https://influxdata.com,Apache License 2.0,203629,False,False
37,dioxus,DioxusLabs/dioxus,DioxusLabs,"Fullstack app framework for web, desktop, and mobile.",Rust,29735,1232,421,2021-01-15T01:57:26Z,2025-07-28T09:40:14Z,https://github.com/DioxusLabs/dioxus,https://dioxuslabs.com,Apache License 2.0,42848,False,False
38,surrealdb,surrealdb/surrealdb,surrealdb,"A scalable, distributed, collaborative, document-graph database, for the realtime web",Rust,29710,1017,739,2021-12-09T15:03:29Z,2025-07-28T07:39:46Z,https://github.com/surrealdb/surrealdb,https://surrealdb.com,Other,39202,False,False
39,sniffnet,GyulyVGC/sniffnet,GyulyVGC,Comfortably monitor your Internet traffic 🕵️‍♂️,Rust,29500,985,59,2022-07-31T21:55:56Z,2025-07-28T09:47:54Z,https://github.com/GyulyVGC/sniffnet,https://sniffnet.net,Apache License 2.0,290292,False,False
40,tokio,tokio-rs/tokio,tokio-rs,"A runtime for writing reliable asynchronous applications with Rust. Provides I/O, networking, scheduling, timers, ...",Rust,29178,2701,398,2016-09-09T22:31:36Z,2025-07-28T09:52:55Z,https://github.com/tokio-rs/tokio,https://tokio.rs,MIT License,15698,False,False
41,firecracker,firecracker-microvm/firecracker,firecracker-microvm,Secure and fast microVMs for serverless computing.,Rust,28834,1993,79,2017-10-19T06:18:47Z,2025-07-28T09:55:50Z,https://github.com/firecracker-microvm/firecracker,http://firecracker-microvm.io,Apache License 2.0,35776,False,False
42,turborepo,vercel/turborepo,vercel,"Build system optimized for JavaScript and TypeScript, written in Rust",Rust,28283,2043,145,2021-10-05T17:37:11Z,2025-07-28T09:26:20Z,https://github.com/vercel/turborepo,https://turborepo.com,MIT License,775754,False,False
43,rust-course,sunface/rust-course,sunface,"“连续八年成为全世界最受喜爱的语言，无 GC 也无需手动内存管理、极高的性能和安全性、过程/OO/函数式编程、优秀的包管理、JS 未来基石"" — 工作之余的第二语言来试试 Rust 吧。本书拥有全面且深入的讲解、生动贴切的示例、德芙般丝滑的内容，这可能是目前最用心的 Rust 中文学习教程 / Book ",Rust,28224,2437,67,2018-08-07T05:01:21Z,2025-07-28T09:44:25Z,https://github.com/sunface/rust-course,https://course.rs,,9782,False,False
44,zoxide,ajeetdsouza/zoxide,ajeetdsouza,A smarter cd command. Supports all major shells.,Rust,28098,640,125,2020-03-05T13:11:40Z,2025-07-28T09:31:28Z,https://github.com/ajeetdsouza/zoxide,https://crates.io/crates/zoxide,MIT License,4290,False,False
45,linera-protocol,linera-io/linera-protocol,linera-io,Main repository for the Linera protocol,Rust,27863,1847,543,2021-12-19T04:09:21Z,2025-07-28T09:30:20Z,https://github.com/linera-io/linera-protocol,,Apache License 2.0,204584,False,False
46,iced,iced-rs/iced,iced-rs,"A cross-platform GUI library for Rust, inspired by Elm",Rust,27188,1342,451,2019-07-15T22:34:46Z,2025-07-28T09:46:26Z,https://github.com/iced-rs/iced,https://iced.rs,MIT License,19909,False,False
