排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
50,blink.cmp,Saghen/blink.cmp,Saghen,"Performant, batteries-included completion plugin for Neovim ",Lua,5308,300,119,2024-07-31T01:56:33Z,2025-09-21T23:15:54Z,https://github.com/Saghen/blink.cmp,https://cmp.saghen.dev,MIT License,3427,False,False
51,toggleterm.nvim,akinsho/toggleterm.nvim,akinsho,A neovim lua plugin to help easily manage multiple terminal windows,Lua,5117,193,77,2020-08-17T17:33:39Z,2025-09-21T20:54:44Z,https://github.com/akinsho/toggleterm.nvim,,GNU General Public License v3.0,1932,False,False
52,diffview.nvim,sindrets/diffview.nvim,sindrets,Single tabpage interface for easily cycling through diffs for all modified files for any git rev.,Lua,4955,146,118,2021-05-01T23:41:36Z,2025-09-21T20:53:17Z,https://github.com/sindrets/diffview.nvim,,Other,1768,False,False
53,PathOfBuilding,PathOfBuildingCommunity/PathOfBuilding,PathOfBuildingCommunity,Offline build planner for Path of Exile.,Lua,4907,2181,872,2019-09-04T11:13:55Z,2025-09-21T10:39:39Z,https://github.com/PathOfBuildingCommunity/PathOfBuilding,https://pathofbuilding.community,Other,781597,False,False
54,neo-tree.nvim,nvim-neo-tree/neo-tree.nvim,nvim-neo-tree,Neovim plugin to manage the file system and other tree like structures.,Lua,4891,269,178,2021-12-12T13:38:23Z,2025-09-21T21:50:43Z,https://github.com/nvim-neo-tree/neo-tree.nvim,,MIT License,1809,False,False
55,neogit,NeogitOrg/neogit,NeogitOrg,"An interactive and powerful Git interface for Neovim, inspired by Magit",Lua,4835,288,149,2020-06-18T09:14:28Z,2025-09-21T16:07:26Z,https://github.com/NeogitOrg/neogit,,MIT License,4900,False,False
56,DenseNet,liuzhuang13/DenseNet,liuzhuang13,"Densely Connected Convolutional Networks, In CVPR 2017 (Best Paper Award).",Lua,4824,1072,30,2016-08-24T21:32:52Z,2025-09-21T10:27:39Z,https://github.com/liuzhuang13/DenseNet,,"BSD 3-Clause ""New"" or ""Revised"" License",1304,False,False
57,indent-blankline.nvim,lukas-reineke/indent-blankline.nvim,lukas-reineke,Indent guides  for Neovim,Lua,4729,111,22,2020-04-11T13:55:29Z,2025-09-21T23:32:26Z,https://github.com/lukas-reineke/indent-blankline.nvim,,MIT License,344,False,False
58,conform.nvim,stevearc/conform.nvim,stevearc,Lightweight yet powerful formatter plugin for Neovim,Lua,4487,246,77,2023-08-25T03:31:42Z,2025-09-21T23:32:02Z,https://github.com/stevearc/conform.nvim,,MIT License,1007,False,False
59,Comment.nvim,numToStr/Comment.nvim,numToStr,":brain: :muscle: // Smart and powerful comment plugin for neovim. Supports treesitter, dot repeat, left-right/up-down motions, hooks, and more",Lua,4453,167,75,2021-10-02T10:22:43Z,2025-09-21T23:30:40Z,https://github.com/numToStr/Comment.nvim,,MIT License,375,False,False
60,fast-neural-style,jcjohnson/fast-neural-style,jcjohnson,Feedforward style transfer,Lua,4335,817,136,2016-10-04T03:44:11Z,2025-09-21T02:36:45Z,https://github.com/jcjohnson/fast-neural-style,,,19096,False,False
61,CorsixTH,CorsixTH/CorsixTH,CorsixTH,Open source clone of Theme Hospital,Lua,4262,375,236,2013-08-25T18:16:56Z,2025-09-21T15:41:52Z,https://github.com/CorsixTH/CorsixTH,,Other,36785,False,False
62,LuaSnip,L3MON4D3/LuaSnip,L3MON4D3,Snippet Engine for Neovim written in Lua.,Lua,4083,258,118,2021-03-19T13:27:06Z,2025-09-21T20:59:07Z,https://github.com/L3MON4D3/LuaSnip,,Apache License 2.0,8733,False,False
63,nvim-config,jdhao/nvim-config,jdhao,"A modern Neovim configuration with full battery for Python, Lua, C++, Markdown, LaTeX, and more...",Lua,4074,580,9,2019-04-25T15:20:42Z,2025-09-21T20:41:52Z,https://github.com/jdhao/nvim-config,,MIT License,4343,False,False
64,bufferline.nvim,akinsho/bufferline.nvim,akinsho,A snazzy bufferline for Neovim,Lua,4061,223,88,2020-05-07T11:12:17Z,2025-09-21T20:51:05Z,https://github.com/akinsho/bufferline.nvim,,GNU General Public License v3.0,4930,False,False
65,vim-be-good,ThePrimeagen/vim-be-good,ThePrimeagen,vim-be-good is a nvim plugin designed to make you better at Vim Movements. ,Lua,4057,166,50,2020-05-10T02:51:42Z,2025-09-21T19:23:53Z,https://github.com/ThePrimeagen/vim-be-good,,,353,False,False
66,lsp-zero.nvim,VonHeikemen/lsp-zero.nvim,VonHeikemen,A starting point to setup some lsp related features in neovim.,Lua,4021,94,0,2022-02-20T02:19:37Z,2025-09-22T01:45:14Z,https://github.com/VonHeikemen/lsp-zero.nvim,,MIT License,1028,False,False
67,ngx_lua_waf,loveshell/ngx_lua_waf,loveshell,ngx_lua_waf是一个基于lua-nginx-module(openresty)的web应用防火墙,Lua,4012,1458,84,2013-03-23T10:15:27Z,2025-09-21T18:00:11Z,https://github.com/loveshell/ngx_lua_waf,,,192,False,False
68,ChatGPT.nvim,jackMort/ChatGPT.nvim,jackMort,ChatGPT Neovim Plugin: Effortless Natural Language Generation with OpenAI's ChatGPT API,Lua,4006,339,113,2022-12-10T17:27:28Z,2025-09-19T10:13:41Z,https://github.com/jackMort/ChatGPT.nvim,,Apache License 2.0,12043,False,False
69,nvim-surround,kylechui/nvim-surround,kylechui,Add/change/delete surrounding delimiter pairs with ease. Written with :heart: in Lua.,Lua,3918,68,9,2022-04-29T19:23:26Z,2025-09-20T22:49:23Z,https://github.com/kylechui/nvim-surround,,MIT License,390,False,False
70,luvit,luvit/luvit,luvit,Lua + libUV + jIT = pure awesomesauce,Lua,3912,376,93,2011-09-10T22:54:00Z,2025-09-17T04:50:30Z,https://github.com/luvit/luvit,https://luvit.io/,Apache License 2.0,5638,False,False
71,ant,ejoy/ant,ejoy,Ant game engine,Lua,3907,405,13,2018-01-19T03:02:36Z,2025-09-19T09:43:44Z,https://github.com/ejoy/ant,,MIT License,902773,False,False
72,lua-language-server,LuaLS/lua-language-server,LuaLS,A language server that offers Lua language support - programmed in Lua,Lua,3899,384,641,2018-09-07T06:50:17Z,2025-09-20T13:43:35Z,https://github.com/LuaLS/lua-language-server,https://luals.github.io,MIT License,26700,False,False
73,init.lua,ThePrimeagen/init.lua,ThePrimeagen,,Lua,3844,672,57,2022-12-12T03:22:32Z,2025-09-19T18:05:35Z,https://github.com/ThePrimeagen/init.lua,,,4605,False,False
74,todo-comments.nvim,folke/todo-comments.nvim,folke,"✅  Highlight, list and search todo comments in your projects",Lua,3829,118,17,2021-05-10T19:38:20Z,2025-09-21T20:53:33Z,https://github.com/folke/todo-comments.nvim,,Apache License 2.0,221,False,False
75,dotfiles,elenapan/dotfiles,elenapan,There is no place like ~/,Lua,3797,179,17,2017-08-18T14:15:34Z,2025-09-21T23:27:37Z,https://github.com/elenapan/dotfiles,,GNU General Public License v2.0,23978,False,False
76,nvim-autopairs,windwp/nvim-autopairs,windwp,autopairs for neovim written in lua,Lua,3793,131,12,2021-01-10T02:11:54Z,2025-09-21T23:29:37Z,https://github.com/windwp/nvim-autopairs,,MIT License,898,False,False
77,fairseq-lua,facebookresearch/fairseq-lua,facebookresearch,Facebook AI Research Sequence-to-Sequence Toolkit,Lua,3739,612,16,2017-03-12T16:13:32Z,2025-08-27T06:32:58Z,https://github.com/facebookresearch/fairseq-lua,,Other,2355,False,True
78,fzf-lua,ibhagwan/fzf-lua,ibhagwan,Improved fzf.vim written in lua,Lua,3734,219,3,2021-07-11T03:16:56Z,2025-09-21T20:53:38Z,https://github.com/ibhagwan/fzf-lua,,MIT License,3909,False,False
79,copilot.lua,zbirenbaum/copilot.lua,zbirenbaum,Fully featured & enhanced replacement for copilot.vim complete with API for interacting with Github Copilot,Lua,3730,145,22,2022-04-02T21:07:51Z,2025-09-22T00:59:53Z,https://github.com/zbirenbaum/copilot.lua,,MIT License,71937,False,False
80,nightfox.nvim,EdenEast/nightfox.nvim,EdenEast,"🦊A highly customizable theme for vim and neovim with support for lsp, treesitter and a variety of plugins.",Lua,3710,164,33,2021-07-20T23:19:53Z,2025-09-21T23:39:11Z,https://github.com/EdenEast/nightfox.nvim,,MIT License,1562,False,False
81,lspsaga.nvim,nvimdev/lspsaga.nvim,nvimdev,improve neovim lsp experience,Lua,3692,298,99,2020-12-16T00:36:44Z,2025-09-21T01:07:45Z,https://github.com/nvimdev/lspsaga.nvim,,MIT License,1442,False,False
82,dev-environment-files,josean-dev/dev-environment-files,josean-dev,,Lua,3682,868,46,2022-10-01T17:45:16Z,2025-09-21T19:00:31Z,https://github.com/josean-dev/dev-environment-files,,,11016,False,False
83,vulscan,scipag/vulscan,scipag,Advanced vulnerability scanning with Nmap NSE,Lua,3662,686,7,2017-03-10T12:34:02Z,2025-09-21T09:54:41Z,https://github.com/scipag/vulscan,https://www.computec.ch/projekte/vulscan/,Other,14056,False,False
84,oh-my-rime,Mintimate/oh-my-rime,Mintimate,The Simple Config Template Of Rime By Mintimate.  ,Lua,3635,238,8,2023-03-19T03:10:25Z,2025-09-21T19:53:52Z,https://github.com/Mintimate/oh-my-rime,https://www.mintimate.cc,GNU General Public License v3.0,181935,False,False
85,null-ls.nvim,jose-elias-alvarez/null-ls.nvim,jose-elias-alvarez,"Use Neovim as a language server to inject LSP diagnostics, code actions, and more via Lua.",Lua,3621,767,91,2021-05-15T06:12:28Z,2025-09-19T10:57:51Z,https://github.com/jose-elias-alvarez/null-ls.nvim,,Other,2541,False,True
86,openresty-best-practices,moonbingbing/openresty-best-practices,moonbingbing,,Lua,3618,874,38,2015-04-29T01:57:13Z,2025-09-18T08:51:53Z,https://github.com/moonbingbing/openresty-best-practices,,,9004,False,False
87,mason-lspconfig.nvim,mason-org/mason-lspconfig.nvim,mason-org,Extension to mason.nvim that makes it easier to use lspconfig with mason.nvim.,Lua,3610,216,80,2022-07-21T11:57:05Z,2025-09-21T14:24:26Z,https://github.com/mason-org/mason-lspconfig.nvim,,Apache License 2.0,566,False,False
88,luarocks,luarocks/luarocks,luarocks,LuaRocks is the package manager for the Lua programming language.,Lua,3570,461,232,2010-03-20T18:23:35Z,2025-09-20T13:57:37Z,https://github.com/luarocks/luarocks,https://luarocks.org,MIT License,311087,False,False
89,yoru,raexera/yoru,raexera,A custom Linux environment built on AwesomeWM,Lua,3555,209,46,2022-02-21T11:09:22Z,2025-09-20T15:48:12Z,https://github.com/raexera/yoru,,GNU General Public License v3.0,190340,False,True
90,cdn-up-and-running,leandromoreira/cdn-up-and-running,leandromoreira,"CDN Up and Running - Building a CDN from Scratch to Learn about CDN, Nginx, Lua, Prometheus, Grafana, Load balancing, and Containers.",Lua,3552,233,2,2021-12-23T15:01:15Z,2025-09-13T12:29:18Z,https://github.com/leandromoreira/cdn-up-and-running,,"BSD 3-Clause ""New"" or ""Revised"" License",1595,False,False
91,tarantool,tarantool/tarantool,tarantool,Get your data in RAM. Get compute close to data. Enjoy the performance.,Lua,3550,388,1526,2010-09-15T07:59:26Z,2025-09-21T21:06:30Z,https://github.com/tarantool/tarantool,https://www.tarantool.io,Other,128000,False,False
92,flash.nvim,folke/flash.nvim,folke,"Navigate your code with search labels, enhanced character motions and Treesitter integration",Lua,3520,54,21,2023-06-08T07:32:45Z,2025-09-22T01:51:44Z,https://github.com/folke/flash.nvim,,Apache License 2.0,668,False,False
93,orgmode,nvim-orgmode/orgmode,nvim-orgmode,Orgmode clone written in Lua for Neovim 0.11.0+.,Lua,3497,164,108,2021-05-13T19:41:59Z,2025-09-21T12:03:39Z,https://github.com/nvim-orgmode/orgmode,https://nvim-orgmode.github.io,MIT License,2476,False,False
94,render-markdown.nvim,MeanderingProgrammer/render-markdown.nvim,MeanderingProgrammer,Plugin to improve viewing Markdown files in Neovim,Lua,3483,73,1,2024-03-18T04:13:43Z,2025-09-21T18:53:38Z,https://github.com/MeanderingProgrammer/render-markdown.nvim,,MIT License,19178,False,False
95,nvim-notify,rcarriga/nvim-notify,rcarriga,"A fancy, configurable, notification manager for NeoVim",Lua,3429,93,72,2021-07-30T23:19:09Z,2025-09-21T21:20:27Z,https://github.com/rcarriga/nvim-notify,,MIT License,253,False,False
96,hardtime.nvim,m4xshen/hardtime.nvim,m4xshen,"Break bad habits, master Vim motions",Lua,3416,45,11,2023-04-24T17:38:50Z,2025-09-21T20:52:46Z,https://github.com/m4xshen/hardtime.nvim,,MIT License,206,False,False
97,refactoring.nvim,ThePrimeagen/refactoring.nvim,ThePrimeagen,The Refactoring library based off the Refactoring book by Martin Fowler,Lua,3367,102,15,2021-07-20T15:15:36Z,2025-09-21T21:39:25Z,https://github.com/ThePrimeagen/refactoring.nvim,,MIT License,1537,False,False
98,rime,ssnhd/rime,ssnhd,Rime Squirrel 鼠须管配置文件（朙月拼音、小鹤双拼、自然码双拼）,Lua,3367,296,45,2020-04-07T13:46:11Z,2025-09-20T13:02:47Z,https://github.com/ssnhd/rime,,,380289,False,False
99,docker-jitsi-meet,jitsi/docker-jitsi-meet,jitsi,Jitsi Meet on Docker,Lua,3366,1483,46,2018-07-17T09:23:37Z,2025-09-19T13:38:09Z,https://github.com/jitsi/docker-jitsi-meet,https://hub.docker.com/u/jitsi/,Apache License 2.0,1960,False,False
100,moonscript,leafo/moonscript,leafo,:crescent_moon: A language that compiles to Lua,Lua,3359,197,192,2011-05-23T07:50:24Z,2025-09-19T23:04:51Z,https://github.com/leafo/moonscript,https://moonscript.org,,3079,False,False
