排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
24,container,apple/container,apple,"A tool for creating and running Linux containers using lightweight virtual machines on a Mac. It is written in Swift, and optimized for Apple silicon. ",Swift,17677,366,88,2025-05-30T21:26:05Z,2025-07-28T10:02:15Z,https://github.com/apple/container,https://apple.github.io/container/documentation/,Apache License 2.0,1004,False,False
25,Mos,Caldis/Mos,Caldis,"一个用于在 macOS 上平滑你的鼠标滚动效果或单独设置滚动方向的小工具, 让你的滚轮爽如触控板  |  A lightweight tool used to smooth scrolling and set scroll direction independently for your mouse on macOS",Swift,17160,557,298,2017-01-27T12:12:48Z,2025-07-28T06:10:20Z,https://github.com/Caldis/Mos,http://mos.caldis.me,Other,60199,False,False
26,OpenEmu,OpenEmu/OpenEmu,OpenEmu,🕹 Retro video game emulation for macOS,Swift,16633,1281,385,2010-12-20T20:13:58Z,2025-07-27T16:26:13Z,https://github.com/OpenEmu/OpenEmu,https://openemu.org,,195177,False,False
27,IQKeyboardManager,hackiftekhar/IQKeyboardManager,hackiftekhar,Codeless drop-in universal library allows to prevent issues of keyboard sliding up and cover UITextField/UITextView. Neither need to write any code nor any setup required and much more.,Swift,16584,2429,14,2013-08-25T11:32:48Z,2025-07-26T17:02:45Z,https://github.com/hackiftekhar/IQKeyboardManager,,MIT License,25094,False,False
28,Maccy,p0deje/Maccy,p0deje,Lightweight clipboard manager for macOS,Swift,16088,708,83,2018-01-31T05:01:53Z,2025-07-28T08:15:33Z,https://github.com/p0deje/Maccy,https://maccy.app,MIT License,83255,False,False
29,SwiftGuide,ipader/SwiftGuide,ipader,Swift Featured Projects in brain Mapping,Swift,16024,3548,0,2014-06-14T01:17:57Z,2025-07-25T08:21:37Z,https://github.com/ipader/SwiftGuide,,,90071,False,False
30,Amethyst,ianyh/Amethyst,ianyh,Automatic tiling window manager for macOS à la xmonad.,Swift,15540,497,343,2013-05-17T04:15:55Z,2025-07-28T10:02:38Z,https://github.com/ianyh/Amethyst,https://ianyh.com/amethyst/,MIT License,26765,False,False
31,Moya,Moya/Moya,Moya,Network abstraction layer written in Swift.,Swift,15303,2008,180,2014-08-16T07:41:21Z,2025-07-27T19:20:02Z,https://github.com/Moya/Moya,https://moya.github.io,MIT License,18280,False,False
32,Design-Patterns-In-Swift,ochococo/Design-Patterns-In-Swift,ochococo,📖 Design Patterns implemented in Swift 5.0,Swift,15261,1744,6,2014-07-13T18:15:14Z,2025-07-27T20:32:26Z,https://github.com/ochococo/Design-Patterns-In-Swift,,GNU General Public License v3.0,1399,False,False
33,Carthage,Carthage/Carthage,Carthage,"A simple, decentralized dependency manager for Cocoa",Swift,15127,1553,210,2014-10-10T19:54:55Z,2025-07-27T22:42:44Z,https://github.com/Carthage/Carthage,,Other,20196,False,False
34,Whisky,Whisky-App/Whisky,Whisky-App,A modern Wine wrapper for macOS built with SwiftUI,Swift,14638,411,444,2023-03-23T15:05:09Z,2025-07-28T00:17:59Z,https://github.com/Whisky-App/Whisky,https://getwhisky.app,GNU General Public License v3.0,757194,False,True
35,SwifterSwift,SwifterSwift/SwifterSwift,SwifterSwift,A handy collection of more than 500 native Swift extensions to boost your productivity.,Swift,14605,1660,27,2016-08-01T22:25:24Z,2025-07-26T07:42:00Z,https://github.com/SwifterSwift/SwifterSwift,https://swifterswift.com,MIT License,16049,False,False
36,AeroSpace,nikitabobko/AeroSpace,nikitabobko,AeroSpace is an i3-like tiling window manager for macOS,Swift,14319,287,173,2023-05-21T20:20:17Z,2025-07-28T09:22:31Z,https://github.com/nikitabobko/AeroSpace,https://nikitabobko.github.io/AeroSpace/guide,MIT License,12494,False,False
37,PromiseKit,mxcl/PromiseKit,mxcl,Promises for Swift & ObjC.,Swift,14263,1455,15,2014-04-04T13:54:37Z,2025-07-18T05:50:12Z,https://github.com/mxcl/PromiseKit,,MIT License,10686,False,False
38,Spring,MengTo/Spring,MengTo,A library to simplify iOS animations in Swift.,Swift,14092,1803,166,2014-12-26T14:57:02Z,2025-07-27T14:19:40Z,https://github.com/MengTo/Spring,http://designcode.io,MIT License,925,False,False
39,Perfect,PerfectlySoft/Perfect,PerfectlySoft,"Server-side Swift. The Perfect core toolset and framework for Swift Developers. (For mobile back-end development, website and API development, and more…)",Swift,13824,940,65,2015-10-02T18:20:08Z,2025-07-23T07:49:18Z,https://github.com/PerfectlySoft/Perfect,https://www.perfect.org,Apache License 2.0,5461,False,False
40,swift-composable-architecture,pointfreeco/swift-composable-architecture,pointfreeco,"A library for building applications in a consistent and understandable way, with composition, testing, and ergonomics in mind.",Swift,13515,1554,20,2020-05-03T23:18:40Z,2025-07-28T06:35:06Z,https://github.com/pointfreeco/swift-composable-architecture,https://www.pointfree.co/collections/composable-architecture,MIT License,188569,False,False
41,alt-tab-macos,lwouis/alt-tab-macos,lwouis,Windows alt-tab on macOS ,Swift,12902,389,100,2019-08-14T13:11:57Z,2025-07-28T09:40:33Z,https://github.com/lwouis/alt-tab-macos,https://alt-tab-macos.netlify.app,GNU General Public License v3.0,284210,False,False
42,SkeletonView,Juanpe/SkeletonView,Juanpe,☠️ An elegant way to show users that something is happening and also prepare them to which contents they are awaiting,Swift,12808,1121,89,2017-11-07T19:05:28Z,2025-07-28T06:41:14Z,https://github.com/Juanpe/SkeletonView,,MIT License,6491,False,False
43,AltStore,altstoreio/AltStore,altstoreio,AltStore is an alternative app store for non-jailbroken iOS devices.,Swift,12689,1083,589,2019-05-10T18:29:53Z,2025-07-28T01:35:47Z,https://github.com/altstoreio/AltStore,https://altstore.io,GNU Affero General Public License v3.0,222094,False,False
44,firefox-ios,mozilla-mobile/firefox-ios,mozilla-mobile,Firefox for iOS,Swift,12623,3061,1786,2014-11-03T19:07:02Z,2025-07-28T09:16:08Z,https://github.com/mozilla-mobile/firefox-ios,,Mozilla Public License 2.0,957673,False,False
45,hidden,dwarvesf/hidden,dwarvesf,An ultra-light MacOS utility that helps hide menu bar icons,Swift,12541,337,132,2019-02-12T03:22:19Z,2025-07-28T09:32:34Z,https://github.com/dwarvesf/hidden,https://d.foundation/opensource,MIT License,3970,False,False
