排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
48,bash-support.vim,vim-scripts/bash-support.vim,vim-scripts,BASH IDE -- Write and run BASH-scripts using menus and hotkeys.,VimL,92,28,0,2010-11-14T05:38:55Z,2025-04-01T03:03:39Z,https://github.com/vim-scripts/bash-support.vim,http://www.vim.org/scripts/script.php?script_id=365,,1779,False,False
49,vim-shellcheck,itspriddle/vim-shellcheck,itspriddle,"Vim wrapper for ShellCheck, a static analysis tool for shell scripts.",Vim Script,92,4,0,2018-09-28T03:22:10Z,2025-08-18T04:00:13Z,https://github.com/itspriddle/vim-shellcheck,https://www.vim.org/scripts/script.php?script_id=5788,MIT License,34,False,False
50,bash-support,WolfgangMehner/bash-support,WolfgangMehner,"Edit Bash scripts in Vim/gVim. Insert code snippets, run, check, and debug the code and look up help.",Vim script,92,14,2,2016-08-01T19:39:15Z,2025-06-30T08:57:23Z,https://github.com/WolfgangMehner/bash-support,,,490,False,False
51,robotframework-vim,mfukar/robotframework-vim,mfukar,Some vim scripts for use with the Robot framework.,Vim script,90,58,4,2010-12-17T11:32:51Z,2025-10-03T07:01:59Z,https://github.com/mfukar/robotframework-vim,,,44,False,True
52,vim-renamer,qpkorr/vim-renamer,qpkorr,Git repo for http://www.vim.org/scripts/script.php?script_id=1721,Vim script,88,11,3,2015-05-09T14:48:44Z,2025-09-30T13:15:04Z,https://github.com/qpkorr/vim-renamer,,MIT License,29,False,False
53,indentpython.vim,vim-scripts/indentpython.vim,vim-scripts,An alternative indentation script for python,VimL,88,23,1,2010-10-18T18:54:01Z,2025-01-15T12:34:51Z,https://github.com/vim-scripts/indentpython.vim,http://www.vim.org/scripts/script.php?script_id=974,,230,False,False
54,gso,MilesCranmer/gso,MilesCranmer,🏃  Google StackOverflow in Vim. Copy-pastes the code directly in your script.,Vim script,83,4,1,2015-09-12T07:17:02Z,2025-08-27T12:07:54Z,https://github.com/MilesCranmer/gso,,MIT License,336,False,False
55,vim-reload,xolox/vim-reload,xolox,"Automatic reloading of Vim scripts ((file-type) plug-ins, auto-load/syntax/indent scripts, color schemes)",VimL,79,8,3,2010-07-13T02:59:27Z,2025-01-12T03:50:30Z,https://github.com/xolox/vim-reload,http://peterodding.com/code/vim/reload/,,166,False,False
56,simple-javascript-indenter,jiangmiao/simple-javascript-indenter,jiangmiao,A vim javascript indent script,VimL,73,8,7,2010-09-03T15:51:16Z,2025-10-03T19:56:22Z,https://github.com/jiangmiao/simple-javascript-indenter,http://www.vim.org/scripts/script.php?script_id=3227,,281,False,False
57,L9,vim-scripts/L9,vim-scripts,Vim-script library,VimL,72,36,0,2010-10-19T03:37:06Z,2025-03-03T05:43:45Z,https://github.com/vim-scripts/L9,http://www.vim.org/scripts/script.php?script_id=3252,,110,False,False
58,underscore.vim,haya14busa/underscore.vim,haya14busa,Vim script utility library :heartbeat: The sky is the limit!,VimL,72,2,0,2015-03-31T20:49:22Z,2025-01-09T17:05:49Z,https://github.com/haya14busa/underscore.vim,http://www.vim.org/scripts/script.php?script_id=5149,MIT License,199,False,False
