排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
29,GoodbyeDPI,ValdikSS/GoodbyeDPI,ValdikSS,GoodbyeDPI — Deep Packet Inspection circumvention utility (for Windows),C,28605,2211,153,2017-05-16T18:48:52Z,2026-08-30T19:32:52Z,https://github.com/ValdikSS/GoodbyeDPI,https://ntc.party/c/community-software/goodbyedpi,Apache License 2.0,222,False,False
30,openwrt,openwrt/openwrt,openwrt,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins.  We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.,C,28157,12871,4414,2015-11-09T07:13:55Z,2026-08-31T00:30:03Z,https://github.com/openwrt/openwrt,https://openwrt.org,Other,305137,False,False
31,zstd,facebook/zstd,facebook,Zstandard - Fast real-time compression algorithm,C,27652,2570,348,2015-01-24T00:22:38Z,2026-08-31T03:34:13Z,https://github.com/facebook/zstd,http://www.zstd.net,Other,40674,False,False
32,libuv,libuv/libuv,libuv,Cross-platform asynchronous I/O,C,27145,3926,235,2013-11-30T00:29:56Z,2026-08-31T01:33:17Z,https://github.com/libuv/libuv,https://libuv.org/,MIT License,17868,False,False
33,the_silver_searcher,ggreer/the_silver_searcher,ggreer,"A code-searching tool similar to ack, but faster.",C,27111,1438,564,2011-11-19T19:50:47Z,2026-08-30T23:15:31Z,https://github.com/ggreer/the_silver_searcher,http://geoff.greer.fm/ag/,Apache License 2.0,2426,False,False
34,valkey,valkey-io/valkey,valkey-io,A flexible distributed key-value database that is optimized for caching and other realtime workloads.,C,27053,1304,893,2024-03-22T00:42:17Z,2026-08-31T04:27:46Z,https://github.com/valkey-io/valkey,https://valkey.io,"BSD 3-Clause ""New"" or ""Revised"" License",236184,False,False
35,hashcat,hashcat/hashcat,hashcat,World's fastest and most advanced password recovery utility,C,26665,3545,354,2015-12-04T14:46:51Z,2026-08-31T03:54:13Z,https://github.com/hashcat/hashcat,https://hashcat.net/hashcat/,,161275,False,False
36,Ehviewer_CN_SXJ,xiaojieonly/Ehviewer_CN_SXJ,xiaojieonly,ehviewer，用爱发电，快乐前行,C,26582,700,549,2020-11-09T06:14:31Z,2026-08-31T04:45:12Z,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,,Other,13876,False,False
37,darknet,pjreddie/darknet,pjreddie,Convolutional Neural Networks,C,26494,21012,1976,2014-04-11T07:59:16Z,2026-08-29T17:17:04Z,https://github.com/pjreddie/darknet,http://pjreddie.com/darknet/,Other,6526,False,False
38,colibri,JustVugg/colibri,JustVugg,"Run frontier MoE models on hardware you already own — pure C, zero deps, experts streamed from disk. Tiny engine, immense model. 🐦",C,26488,2896,85,2026-07-01T12:27:49Z,2026-08-31T04:29:44Z,https://github.com/JustVugg/colibri,https://justvugg.github.io/colibri,Apache License 2.0,14607,False,False
39,masscan,robertdavidgraham/masscan,robertdavidgraham,"TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes.",C,25963,3236,414,2013-07-28T05:35:33Z,2026-08-30T16:40:26Z,https://github.com/robertdavidgraham/masscan,,GNU Affero General Public License v3.0,3696,False,False
40,TDengine,taosdata/TDengine,taosdata,"High-performance, scalable time-series database designed for Industrial IoT (IIoT) scenarios",C,25094,5018,451,2019-07-11T08:33:48Z,2026-08-30T13:16:48Z,https://github.com/taosdata/TDengine,https://tdengine.com,GNU Affero General Public License v3.0,1284408,False,False
41,Tasmota,arendst/Tasmota,arendst,"Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at",C,24730,5167,13,2017-01-28T13:37:08Z,2026-08-30T20:49:03Z,https://github.com/arendst/Tasmota,https://tasmota.github.io/docs,GNU General Public License v3.0,282629,False,False
42,radare2,radareorg/radare2,radareorg,UNIX-like reverse engineering framework and command-line toolset,C,24688,3310,823,2012-07-03T07:42:26Z,2026-08-31T03:55:56Z,https://github.com/radareorg/radare2,https://www.radare.org,Other,205930,False,False
43,lvgl,lvgl/lvgl,lvgl,"LVGL is a free, full-featured embedded UI library for devices from small MCUs to 3D-capable MPUs, enhanced by LVGL Pro, a professional editor and tooling.",C,24538,4332,221,2016-06-08T04:14:34Z,2026-08-31T04:18:54Z,https://github.com/lvgl/lvgl,https://lvgl.io,MIT License,544447,False,False
