排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
23,penumbra,nealmckee/penumbra,nealmckee,Penumbra Color Theme,Julia,1420,32,10,2021-07-15T21:04:26Z,2025-12-27T11:46:55Z,https://github.com/nealmckee/penumbra,,MIT License,916,False,False
24,BeautifulAlgorithms.jl,mossr/BeautifulAlgorithms.jl,mossr,Concise and beautiful algorithms written in Julia,Julia,1416,95,3,2020-09-15T19:58:22Z,2025-12-20T16:29:50Z,https://github.com/mossr/BeautifulAlgorithms.jl,,,2485,False,False
25,CUDA.jl,JuliaGPU/CUDA.jl,JuliaGPU,CUDA programming in Julia.,Julia,1366,263,340,2019-09-06T13:35:08Z,2026-01-04T20:00:32Z,https://github.com/JuliaGPU/CUDA.jl,https://juliagpu.org/backends/cuda/,Other,67553,False,False
26,Revise.jl,timholy/Revise.jl,timholy,Automatically update function definitions in a running Julia session,Julia,1319,115,77,2017-06-27T18:11:37Z,2026-01-03T19:54:33Z,https://github.com/timholy/Revise.jl,https://timholy.github.io/Revise.jl/stable,Other,7774,False,False
27,AlphaZero.jl,jonathan-laurent/AlphaZero.jl,jonathan-laurent,"A generic, simple and fast implementation of Deepmind's AlphaZero algorithm.",Julia,1308,145,15,2019-09-04T02:00:41Z,2025-12-25T19:23:14Z,https://github.com/jonathan-laurent/AlphaZero.jl,https://jonathan-laurent.github.io/AlphaZero.jl/stable/,MIT License,20959,False,False
28,Mocha.jl,pluskid/Mocha.jl,pluskid,Deep Learning framework for Julia,Julia,1285,248,36,2014-10-25T00:31:21Z,2025-12-25T00:49:00Z,https://github.com/pluskid/Mocha.jl,,Other,4922,False,False
29,VIMKiller,caseykneale/VIMKiller,caseykneale,Exiting VIM is hard; sometimes we need to take drastic measures,Julia,1241,14,15,2020-01-01T01:31:29Z,2025-12-01T11:02:16Z,https://github.com/caseykneale/VIMKiller,,MIT License,979,False,False
30,Oceananigans.jl,CliMA/Oceananigans.jl,CliMA,"🌊  Julia software for fast, friendly, flexible, ocean-flavored fluid dynamics on CPUs and GPUs",Julia,1219,259,201,2018-10-13T14:15:44Z,2026-01-05T01:03:31Z,https://github.com/CliMA/Oceananigans.jl,https://clima.github.io/OceananigansDocumentation/stable,MIT License,53043,False,False
31,Optim.jl,JuliaNLSolvers/Optim.jl,JuliaNLSolvers,Optimization functions for Julia,Julia,1185,231,113,2012-04-04T22:19:35Z,2025-12-21T11:43:31Z,https://github.com/JuliaNLSolvers/Optim.jl,https://julianlsolvers.github.io/Optim.jl/stable/,Other,9411,False,False
32,Distributions.jl,JuliaStats/Distributions.jl,JuliaStats,A Julia package for probability distributions and associated functions.,Julia,1179,433,465,2012-11-09T20:01:33Z,2026-01-04T11:36:52Z,https://github.com/JuliaStats/Distributions.jl,,Other,14165,False,False
